tarehe_ya_data,month,season,begin_time,end_time,hours,lon,lat,region,district,kijiji,mwalo_bandari_diko,sehemu_aliyovua_locality,idadi_ya_wavuvi_chomboni,aina_ya_mtego,aina_ya_samaki,Groups,local_name,uzito,idadi,cpue,cpue.check
21/02/2020,2,NE,2020-02-21T19:16:00Z,2020-02-22T04:17:00Z,9.02,38.95176,-5.9618,Unguja,Kaskazini A,Mkokotoni,Nungwi,MELIN,23,GN,Mackerel(scomber),Mackerel,NA,160,8,17.74491682,17.7383592
21/02/2020,2,NE,2020-02-21T19:42:00Z,2020-02-22T05:05:00Z,9.38,39.226049,-4.87747,Tanga,Mkinga,Zingibari,Petukiza,Bunju,21,RN,Sardine,Sardines,NA,100,5,10.65719361,10.66098081
21/02/2020,2,NE,2020-02-21T20:15:00Z,2020-02-22T05:00:00Z,8.75,39.09459,-5.0542,Tanga,Tanga City,Sahare,Kasera,Jambe,16,RN,Sardine,Sardines,NA,140,7,16,16
21/02/2020,2,NE,2020-02-21T20:30:00Z,2020-02-22T06:00:00Z,9.5,39.0302,-5.53961,Tanga,Pangani,Pangani Mashariki,Magarawani,Mto wa zinga,24,RN,Sardine,Sardines,NA,200,10,21.05263158,21.05263158
21/02/2020,2,NE,2020-02-21T21:30:00Z,2020-02-22T04:00:00Z,6.5,39.26892,-6.56379,Dar es Salaam,Kinondoni,Kunduchi Pwani,Kunduchi Pwani,Chumbe,60,RN,Euthynnus affinis,Tuna,NA,240,24,36.92307692,36.92307692
21/02/2020,2,NE,2020-02-21T21:52:00Z,2020-02-22T04:29:00Z,6.62,39.0143,-5.77445,Unguja,Kaskazini A,Mkokotoni,Nungwi,FUNGUREFU NGONYAN,17,GN,Dussumieria acuta,Anchovy,NA,200,10,30.22670025,30.21148036
21/02/2020,2,NE,2020-02-21T22:40:00Z,2020-02-22T05:42:00Z,7.03,39.26319,-4.8556,Tanga,Mkinga,Zingibari,Petukiza,Kwamzungu,22,RN,Sardine,Sardines,NA,600,30,85.30805688,85.3485064
21/02/2020,2,NE,2020-02-21T23:30:00Z,2020-02-22T03:00:00Z,3.5,39.20277,-6.39575,Dar es Salaam,Kinondoni,Kunduchi Pwani,Kunduchi Pwani,Chumbe,22,RN,Sardine,Sardines,NA,800,40,228.5714286,228.5714286
21/02/2020,2,NE,2020-02-21T23:35:00Z,2020-02-22T05:30:00Z,5.92,39.05647,-5.69004,Tanga,Pangani,Pangani Mashariki,Magarawani,Mijimile,22,RN,Sardine,Sardines,NA,80,4,13.52112676,13.51351351
22/02/2020,2,NE,2020-02-22T00:15:00Z,2020-02-22T05:00:00Z,4.75,39.01045,-5.56244,Tanga,Pangani,Pangani Mashariki,Magarawani,Zinga,22,RN,Sardine,Sardines,NA,200,10,42.10526316,42.10526316
22/02/2020,2,NE,2020-02-22T00:30:00Z,2020-02-22T05:30:00Z,5,39.0209,-5.32252,Tanga,Pangani,Pangani Mashariki,Magarawani,Zinga,24,RN,Sardine,Sardines,NA,600,30,120,120
22/02/2020,2,NE,2020-02-22T01:30:00Z,2020-02-22T06:00:00Z,4.5,39.16037,-4.77909,Tanga,Mkinga,Zingibari,Petukiza,Mwezi,17,RN,Auxis thazard,Tuna,NA,10,5,2.222222222,2.222222222
22/02/2020,2,NE,2020-02-22T06:00:00Z,2020-02-22T12:45:00Z,6.75,39.26892,-6.56379,Dar es Salaam,Kinondoni,Kunduchi Pwani,Kunduchi Pwani,Panganne,51,RN,Sardine,Sardines,NA,240,24,35.55555556,35.55555556
22/02/2020,2,NE,2020-02-22T06:20:00Z,2020-02-22T10:30:00Z,4.17,40.38447,-10.34856,Mtwara,Mtwara Urban,Kiyanga,Uyavi,Mkungu,20,RN,Auxis rochei,Tuna,NA,52,104,12.48,12.47002398
22/02/2020,2,NE,2020-02-22T06:30:00Z,2020-02-22T11:40:00Z,5.17,40.32671,-10.35347,Mtwara,Mtwara Urban,Shangani East,Feri,Samwange,25,RN,Auxis thazard,Tuna,NA,162,180,31.35483871,31.33462282
22/02/2020,2,NE,2020-02-22T08:00:00Z,2020-02-22T11:00:00Z,3,39.26683,-4.86935,Tanga,Mkinga,Zingibari,Petukiza,Kwamzumgu,21,RN,Amblygaster sirm,Anchovy,NA,120,6,40,40
22/02/2020,2,NE,2020-02-22T08:05:00Z,2020-02-22T10:13:00Z,2.13,40.3574,-10.33228,Mtwara,Mtwara Rural,Mnazi,Mnazi Bay,KIPWA KIKUBWA,14,RN,Coryphaena ssp,Tuna,NA,400,20,187.5,187.7934272
