date.d,date,level_mm
2000.7917,2000-10-16,6931
2000.8750,2000-11-16,6924
2000.9583,2000-12-16,6961
2001.0417,2001-01-16,6901
2001.1250,2001-02-15,6922
2001.2083,2001-03-18,6943
2001.2917,2001-04-17,6927
2001.3750,2001-05-17,6952
2001.4583,2001-06-17,6949
2001.5417,2001-07-17,6901
2001.6250,2001-08-17,6867
2001.7083,2001-09-16,6883
2001.7917,2001-10-16,6913
2001.8750,2001-11-16,6944
2001.9583,2001-12-16,6915
2002.0417,2002-01-16,6917
2002.1250,2002-02-15,6928
2002.2083,2002-03-18,6992
2002.2917,2002-04-17,6971
2002.3750,2002-05-17,6966
2002.4583,2002-06-17,6925
2002.5417,2002-07-17,6888
2002.6250,2002-08-17,6936
2002.7083,2002-09-16,6951
2002.7917,2002-10-16,6930
2002.8750,2002-11-16,6989
2002.9583,2002-12-16,6954
2003.0417,2003-01-16,6924
2003.1250,2003-02-15,6947
2003.2083,2003-03-18,6993
2003.2917,2003-04-17,7029
2003.3750,2003-05-17,7000
2003.4583,2003-06-17,6992
2003.5417,2003-07-17,6935
2003.6250,2003-08-17,6942
2003.7083,2003-09-16,6965
2003.7917,2003-10-16,6971
2003.8750,2003-11-16,6983
2003.9583,2003-12-16,6979
2004.0417,2004-01-16,7003
2004.1250,2004-02-15,7005
2004.2083,2004-03-17,6962
2004.2917,2004-04-16,7027
2004.3750,2004-05-17,7013
2004.4583,2004-06-16,6955
2004.5417,2004-07-17,6949
2004.6250,2004-08-16,6899
2004.7083,2004-09-16,6964
2004.7917,2004-10-16,6970
2004.8750,2004-11-16,6995
2004.9583,2004-12-16,7014
2005.0417,2005-01-16,6952
2005.1250,2005-02-15,6959
2005.2083,2005-03-18,6990
2005.2917,2005-04-17,7006
2005.3750,2005-05-17,7001
2005.4583,2005-06-17,6966
2005.5417,2005-07-17,6943
2005.6250,2005-08-17,6954
2005.7083,2005-09-16,6967
2005.7917,2005-10-16,6990
2005.8750,2005-11-16,6989
2005.9583,2005-12-16,6985
2006.0417,2006-01-16,6940
2006.1250,2006-02-15,7021
2006.2083,2006-03-18,6977
2006.2917,2006-04-17,7022
2006.3750,2006-05-17,7016
2006.4583,2006-06-17,6990
2006.5417,2006-07-17,6915
2006.6250,2006-08-17,6964
2006.7083,2006-09-16,6955
2006.7917,2006-10-16,6990
2006.8750,2006-11-16,6980
2006.9583,2006-12-16,7008
2007.0417,2007-01-16,6946
2007.1250,2007-02-15,7028
2007.2083,2007-03-18,7006
2007.2917,2007-04-17,7031
2007.3750,2007-05-17,7040
2007.4583,2007-06-17,7029
2007.5417,2007-07-17,7005
2007.6250,2007-08-17,7047
2007.7083,2007-09-16,7048
2007.7917,2007-10-16,7045
2007.8750,2007-11-16,7067
2007.9583,2007-12-16,7034
2008.0417,2008-01-16,7024
2008.1250,2008-02-15,6960
2008.2083,2008-03-17,7041
2008.2917,2008-04-16,NA
2008.3750,2008-05-17,NA
2008.4583,2008-06-16,NA
2008.5417,2008-07-17,NA
2008.6250,2008-08-16,NA
2008.7083,2008-09-16,NA
2008.7917,2008-10-16,NA
2008.8750,2008-11-16,NA
2008.9583,2008-12-16,NA
2009.0417,2009-01-16,NA
2009.1250,2009-02-15,7024
2009.2083,2009-03-18,7038
2009.2917,2009-04-17,7040
2009.3750,2009-05-17,6974
2009.4583,2009-06-17,6969
2009.5417,2009-07-17,6995
2009.6250,2009-08-17,6988
2009.7083,2009-09-16,6985
2009.7917,2009-10-16,7030
2009.8750,2009-11-16,7051
2009.9583,2009-12-16,7016
2010.0417,2010-01-16,6976
2010.1250,2010-02-15,7025
2010.2083,2010-03-18,7076
2010.2917,2010-04-17,7030
2010.3750,2010-05-17,7086
2010.4583,2010-06-17,7104
2010.5417,2010-07-17,6997
2010.6250,2010-08-17,7042
2010.7083,2010-09-16,7027
2010.7917,2010-10-16,7044
2010.8750,2010-11-16,7058
2010.9583,2010-12-16,7064
2011.0417,2011-01-16,7057
2011.1250,2011-02-15,7072
2011.2083,2011-03-18,7020
2011.2917,2011-04-17,7064
2011.3750,2011-05-17,7039
2011.4583,2011-06-17,7045
2011.5417,2011-07-17,7021
2011.6250,2011-08-17,7027
2011.7083,2011-09-16,7033
2011.7917,2011-10-16,7062
2011.8750,2011-11-16,7054
2011.9583,2011-12-16,7049
2012.0417,2012-01-16,6968
2012.1250,2012-02-15,7031
2012.2083,2012-03-17,7025
2012.2917,2012-04-16,7065
2012.3750,2012-05-17,6992
2012.4583,2012-06-16,6949
2012.5417,2012-07-17,7013
2012.6250,2012-08-16,7002
2012.7083,2012-09-16,6999
2012.7917,2012-10-16,7012
2012.8750,2012-11-16,7049
2012.9583,2012-12-16,7020
2013.0417,2013-01-16,7034
2013.1250,2013-02-15,7022
2013.2083,2013-03-18,7044
2013.2917,2013-04-17,7055
2013.3750,2013-05-17,7042
2013.4583,2013-06-17,7018
2013.5417,2013-07-17,6999
2013.6250,2013-08-17,6996
2013.7083,2013-09-16,7023
2013.7917,2013-10-16,7055
2013.8750,2013-11-16,7010
2013.9583,2013-12-16,6983
2014.0417,2014-01-16,7012
2014.1250,2014-02-15,7016
2014.2083,2014-03-18,7035
2014.2917,2014-04-17,7073
2014.3750,2014-05-17,7081
2014.4583,2014-06-17,7070
2014.5417,2014-07-17,NA
2014.6250,2014-08-17,NA
2014.7083,2014-09-16,NA
